iter	Passed	Remaining
420	3628	680
421	3641	673
422	3648	664
423	3652	654
424	3657	645
425	3668	637
426	3676	628
427	3683	619
428	3690	610
429	3697	601
430	3708	593
431	3717	585
432	3724	576
433	3730	567
434	3736	558
435	3744	549
436	3753	541
437	3760	532
438	3768	523
439	3775	514
440	3780	505
441	3785	496
442	3795	488
443	3800	479
444	3808	470
445	3819	462
446	3825	453
447	3833	445
448	3842	436
449	3852	428
450	3860	419
451	3866	410
452	3877	402
453	3889	394
454	3899	385
455	3903	376
456	3914	368
457	3922	359
458	3927	350
459	3934	342
460	3940	333
461	3954	325
462	3966	316
463	3976	308
464	3987	300
465	3997	291
466	4002	282
467	4007	274
468	4017	265
469	4023	256
470	4031	248
471	4042	239
472	4046	230
473	4051	222
474	4056	213
475	4068	205
476	4080	196
477	4085	188
478	4096	179
479	4102	170
480	4110	162
481	4117	153
482	4125	145
483	4131	136
484	4140	128
485	4150	119
486	4155	110
487	4166	102
488	4175	93
489	4187	85
490	4195	76
491	4204	68
492	4209	59
493	4215	51
494	4218	42
495	4223	34
496	4228	25
497	4237	17
498	4250	8
499	4262	0
