iter	Accuracy	Logloss
246	0.8507223114	0.5542038852
247	0.8507223114	0.5537955448
248	0.8507223114	0.5533238206
249	0.8507223114	0.5529191738
250	0.8507223114	0.5524364238
251	0.8507223114	0.5519561352
252	0.8507223114	0.5515651373
253	0.8507223114	0.5510729337
254	0.8507223114	0.5506397888
255	0.8507223114	0.5501925379
256	0.8507223114	0.549712588
257	0.8507223114	0.5492664513
258	0.8507223114	0.54880131
259	0.8507223114	0.5484172194
260	0.8507223114	0.547982972
261	0.8507223114	0.5475839893
262	0.8507223114	0.5472096843
263	0.8507223114	0.5468588511
264	0.8507223114	0.5463865507
265	0.8507223114	0.5458952719
266	0.8507223114	0.5455293191
267	0.8507223114	0.545061714
268	0.8507223114	0.544671215
269	0.8507223114	0.5443043816
270	0.8507223114	0.5438247379
271	0.8507223114	0.5435645397
272	0.8507223114	0.5431701308
273	0.8507223114	0.5426762798
274	0.8507223114	0.5422533423
275	0.8507223114	0.5419416111
276	0.8507223114	0.5415458386
277	0.8507223114	0.5410159919
278	0.8507223114	0.5405728459
279	0.8507223114	0.5402233511
280	0.8507223114	0.539948401
281	0.8507223114	0.5395183095
282	0.8507223114	0.5390560136
283	0.8507223114	0.5386867112
284	0.8507223114	0.5382265727
285	0.8507223114	0.5379905068
286	0.8507223114	0.5376432052
287	0.8507223114	0.5372127735
288	0.8507223114	0.536841117
289	0.8507223114	0.5364855248
290	0.8507223114	0.5360923644
291	0.8507223114	0.5357315109
292	0.8507223114	0.5353095025
293	0.8507223114	0.534901505
294	0.8507223114	0.534496164
295	0.8507223114	0.5341387918
296	0.8507223114	0.5337584769
297	0.8507223114	0.5334948279
298	0.8507223114	0.5331290184
299	0.8507223114	0.5326891122
300	0.8507223114	0.5322902823
301	0.8507223114	0.5318871604
302	0.8507223114	0.531421764
303	0.8507223114	0.5310333512
304	0.8507223114	0.5306125577
305	0.8507223114	0.5302583887
306	0.8507223114	0.5298855958
307	0.8507223114	0.5295978044
308	0.8507223114	0.5291646643
309	0.8507223114	0.5287180025
310	0.8507223114	0.5283390993
311	0.8507223114	0.5280194806
312	0.8507223114	0.5275763831
313	0.8507223114	0.5272286423
314	0.8507223114	0.5268673098
315	0.8507223114	0.5265569755
316	0.8507223114	0.5261515744
317	0.8507223114	0.5257882107
318	0.8507223114	0.525460735
319	0.8507223114	0.5250704119
320	0.8507223114	0.5247003651
321	0.8507223114	0.5243057256
322	0.8507223114	0.524039988
323	0.8507223114	0.5236599418
324	0.8507223114	0.5232685728
325	0.8507223114	0.5229215286
326	0.8507223114	0.5225518327
327	0.8507223114	0.5221531628
328	0.8507223114	0.5218137882
329	0.8507223114	0.5215071614
330	0.8507223114	0.521130953
331	0.8507223114	0.5207293806
332	0.8507223114	0.5204281462
333	0.8507223114	0.5200273985
334	0.8507223114	0.5196661817
335	0.8507223114	0.5194013699
336	0.8507223114	0.5190724169
337	0.8507223114	0.5187543534
338	0.8507223114	0.5184205124
339	0.8507223114	0.5180806999
340	0.8507223114	0.5176948122
341	0.8507223114	0.5174194397
342	0.8507223114	0.5170575925
343	0.8507223114	0.5166740054
344	0.8507223114	0.5163848605
345	0.8507223114	0.5159764427
346	0.8507223114	0.5156306009
347	0.8507223114	0.5152320093
348	0.8507223114	0.5149718788
349	0.8507223114	0.5146161617
350	0.8507223114	0.5142685486
351	0.8507223114	0.5140706031
352	0.8507223114	0.5138395148
353	0.8507223114	0.5134780184
354	0.8507223114	0.5130691876
355	0.8507223114	0.5127894923
356	0.8507223114	0.5124060214
357	0.8507223114	0.512126392
358	0.8507223114	0.5117607496
359	0.8507223114	0.5114764804
360	0.8507223114	0.5111886783
361	0.8507223114	0.5108224452
362	0.8507223114	0.5104981912
363	0.8507223114	0.5102233331
364	0.8507223114	0.5099426021
365	0.8507223114	0.5095507073
366	0.8507223114	0.5091957954
367	0.8507223114	0.5088163485
368	0.8507223114	0.5084927322
369	0.8507223114	0.5081254368
370	0.8507223114	0.507795837
371	0.8507223114	0.5074647502
372	0.8507223114	0.5071244709
373	0.8507223114	0.5068217729
374	0.8507223114	0.5064144692
375	0.8507223114	0.5060691853
376	0.8507223114	0.5057080083
377	0.8507223114	0.5053428102
378	0.8507223114	0.5050721233
379	0.8507223114	0.5047017573
380	0.8507223114	0.5043346943
381	0.8507223114	0.503971439
382	0.8507223114	0.5036508084
383	0.8507223114	0.5033001079
384	0.8507223114	0.5029412879
385	0.8507223114	0.502581431
386	0.8507223114	0.502160196
387	0.8507223114	0.5017686019
388	0.8507223114	0.501449226
389	0.8507223114	0.5010690638
390	0.8507223114	0.5006866814
391	0.8507223114	0.5004100821
392	0.8507223114	0.5002452747
393	0.8507223114	0.4999277629
394	0.8507223114	0.4996076137
395	0.8507223114	0.4992798543
396	0.8507223114	0.4989053734
397	0.8507223114	0.4985797404
398	0.8507223114	0.498258747
399	0.8507223114	0.4979652953
400	0.8507223114	0.4976556199
401	0.8507223114	0.4973084008
402	0.8507223114	0.4970237253
403	0.8507223114	0.4966353531
404	0.8507223114	0.4963105802
405	0.8507223114	0.4960470785
406	0.8507223114	0.4957998474
407	0.8507223114	0.4954746606
408	0.8507223114	0.4952027037
409	0.8507223114	0.4948314425
410	0.8507223114	0.4944599138
411	0.8507223114	0.4940897813
412	0.8507223114	0.4937222457
413	0.8507223114	0.4935008506
414	0.8507223114	0.4932090946
415	0.8507223114	0.4928914557
416	0.8507223114	0.4925292737
417	0.8507223114	0.4922065675
418	0.8507223114	0.4919565208
419	0.8507223114	0.4916455109
420	0.8507223114	0.491341649
421	0.8507223114	0.4910724189
422	0.8507223114	0.4907861874
423	0.8507223114	0.4905236708
424	0.8507223114	0.4901633618
425	0.8507223114	0.48985932
426	0.8507223114	0.4895916363
427	0.8507223114	0.4893746815
428	0.8507223114	0.4890605394
429	0.8507223114	0.4888600119
430	0.8507223114	0.4884962921
431	0.8507223114	0.4881992452
432	0.8507223114	0.4878202855
433	0.8507223114	0.4875185908
434	0.8507223114	0.4873183848
435	0.8507223114	0.4869657967
436	0.8507223114	0.4866670317
437	0.8507223114	0.486344072
438	0.8507223114	0.4861223299
439	0.8507223114	0.4858127659
440	0.8507223114	0.4855369966
441	0.8507223114	0.4852585753
442	0.8507223114	0.4850431544
443	0.8507223114	0.4847832577
444	0.8507223114	0.4844856046
445	0.8507223114	0.484200023
446	0.8507223114	0.4839140996
447	0.8507223114	0.4835675981
448	0.8507223114	0.483418222
449	0.8507223114	0.4831363633
450	0.8507223114	0.4829050112
451	0.8507223114	0.4826134923
452	0.8507223114	0.4823501259
453	0.8507223114	0.4820810249
454	0.8507223114	0.4818006921
455	0.8507223114	0.4816030346
456	0.8507223114	0.4813080182
457	0.8507223114	0.4810125102
458	0.8507223114	0.480683779
459	0.8507223114	0.4804089368
460	0.8507223114	0.480184192
461	0.8507223114	0.4798883393
462	0.8507223114	0.479601507
463	0.8507223114	0.4793377174
464	0.8507223114	0.4791093309
465	0.8507223114	0.4788608136
466	0.8507223114	0.478607843
467	0.8507223114	0.4783991139
468	0.8507223114	0.4781413391
469	0.8507223114	0.4778267004
470	0.8507223114	0.4776359113
471	0.8507223114	0.4773673547
472	0.8507223114	0.4771413114
473	0.8507223114	0.4768148371
474	0.8507223114	0.4765904136
475	0.8507223114	0.4763286719
476	0.8507223114	0.4760578263
477	0.8507223114	0.4757712076
478	0.8507223114	0.4754859247
479	0.8507223114	0.4751858265
480	0.8507223114	0.4749208354
481	0.8507223114	0.4745998404
482	0.8507223114	0.4744035363
483	0.8507223114	0.4741891758
484	0.8507223114	0.4739053782
485	0.8507223114	0.473597254
486	0.8507223114	0.4734519212
487	0.8507223114	0.4731868031
488	0.8507223114	0.4729335125
489	0.8507223114	0.4727371184
490	0.8507223114	0.4725648166
491	0.8507223114	0.4723497402
492	0.8507223114	0.4721347382
493	0.8507223114	0.471817907
494	0.8507223114	0.471699789
495	0.8507223114	0.4714308764
496	0.8507223114	0.4711404848
497	0.8507223114	0.4708324593
498	0.8507223114	0.4705217648
499	0.8507223114	0.4702775663
